學號,班一般名次,班一般人數,平均成績,鎖定排名,系所名稱,系一般名次,系一般人數,年級班別,組別,組一般名次,成績是否全到,班名次,班人數,系名次,系人數,組名次,組人數,學年
770bde1af64c65fe5648cd837996fa104b0ee1a3377e4d04c31c948a2d6db8c1,"47 ","48 ",68.86,未鎖定,法國語文學系,"47 ","48 ",4年級,,,成績全到,"46 ","47 ","46 ","47 ",,,103
729240867600584b0e8a77bb4809cd333ca51f36dcfa857b184068c074a7d496,"15 ","62 ",84.14,未鎖定,經濟學系,"15 ","62 ",4年級,,,成績全到,"13 ","57 ","13 ","57 ",,,103
51499752c3baf1246f2bee88931130fa6c452eb444ace63e40c646f3d44725b2,"23 ","48 ",80.73,未鎖定,法國語文學系,"23 ","48 ",4年級,,,成績全到,"22 ","47 ","22 ","47 ",,,103
a864e91074c4c7f6dfe590af13e482bf9a0300df8d032bb8e53fd203257f8417,"5  ","48 ",87.47,未鎖定,法國語文學系,"5  ","48 ",4年級,,,成績全到,"4  ","47 ","4  ","47 ",,,103
d1fe04efb70d4a0b667f7363cbc93d88287e3696f43ea89d5c610d2cd73b6275,"7  ","48 ",85.28,未鎖定,法國語文學系,"7  ","48 ",4年級,,,成績全到,"6  ","47 ","6  ","47 ",,,103
33234ced21ba683e437d4a0bf590b5d7668bdb703ee48d101938877882abd089,"16 ","48 ",82.30,未鎖定,法國語文學系,"16 ","48 ",4年級,,,成績全到,"15 ","47 ","15 ","47 ",,,103
581ac30af7c9891083a2c4ce42acd018d69c6580425741c1492450b07dee512e,"38 ","48 ",75.20,未鎖定,法國語文學系,"38 ","48 ",4年級,,,成績全到,"37 ","47 ","37 ","47 ",,,103
3327b47802f035d2314f121148fdb43ee04befe49d3d13c3186e4225bb4106b9,"30 ","48 ",77.65,未鎖定,法國語文學系,"30 ","48 ",4年級,,,成績全到,"29 ","47 ","29 ","47 ",,,103
c6f552eda3421deb369c2078a704d4bf8bab0e120367d3ad92685422d4d3ec57,"33 ","48 ",76.24,未鎖定,法國語文學系,"33 ","48 ",4年級,,,成績全到,"32 ","47 ","32 ","47 ",,,103
f3c25be4be7188ece4ece0d5605fea46b2cf39c291d66e11e3955317cce833e2,"34 ","48 ",75.90,未鎖定,法國語文學系,"34 ","48 ",4年級,,,成績全到,"33 ","47 ","33 ","47 ",,,103
